App ID,App names,Country,Date,Ad Exchange impressions,Ad Exchange clicks,Ad Exchange CTR,Ad Exchange revenue ($),Ad Exchange average eCPM ($),Ad Exchange ad requests,Ad Exchange match rate,Ad Exchange CPC ($),Ad Exchange delivery rate
com.calendar.schedule.taskapp,Calender,Chile,3/16/25,10,7,70.00%,0.33,33.46,18,100.00%,0.05,55.56%
com.calendar.schedule.taskapp,Calender,Chile,3/17/25,45,4,8.89%,0.51,11.25,81,100.00%,0.13,55.56%
com.calendar.schedule.taskapp,Calender,Chile,3/18/25,26,6,23.08%,0.58,22.12,83,100.00%,0.10,31.33%
com.calendar.schedule.taskapp,Calender,Chile,3/19/25,70,11,15.71%,0.81,11.61,124,100.00%,0.07,56.45%
com.calendar.schedule.taskapp,Calender,Chile,3/20/25,63,12,19.05%,0.96,15.25,135,100.00%,0.08,46.67%
com.calendar.schedule.taskapp,Calender,Chile,3/21/25,34,4,11.76%,0.30,8.90,78,100.00%,0.08,43.59%
com.calendar.schedule.taskapp,Calender,Chile,3/22/25,39,12,30.77%,0.38,9.64,105,100.00%,0.03,37.14%
com.calendar.schedule.taskapp,Calender,Chile,3/23/25,60,17,28.33%,0.39,6.46,138,99.28%,0.02,43.48%
com.calendar.schedule.taskapp,Calender,Colombia,3/14/25,20,6,30.00%,0.16,7.94,30,100.00%,0.03,66.67%
com.calendar.schedule.taskapp,Calender,Colombia,3/15/25,15,3,20.00%,0.29,19.32,21,100.00%,0.10,71.43%
com.calendar.schedule.taskapp,Calender,Colombia,3/16/25,18,2,11.11%,0.03,1.55,26,100.00%,0.01,69.23%
com.calendar.schedule.taskapp,Calender,Colombia,3/17/25,35,6,17.14%,0.13,3.78,62,98.39%,0.02,56.45%
com.calendar.schedule.taskapp,Calender,Colombia,3/18/25,46,7,15.22%,0.17,3.68,86,98.84%,0.02,53.49%
com.calendar.schedule.taskapp,Calender,Colombia,3/19/25,15,3,20.00%,0.21,13.81,30,100.00%,0.07,50.00%
com.calendar.schedule.taskapp,Calender,Colombia,3/20/25,35,11,31.43%,0.24,6.89,70,100.00%,0.02,50.00%
com.calendar.schedule.taskapp,Calender,Colombia,3/21/25,14,1,7.14%,0.16,11.40,33,100.00%,0.16,42.42%
com.calendar.schedule.taskapp,Calender,Colombia,3/22/25,38,5,13.16%,0.46,12.06,69,100.00%,0.09,55.07%
com.calendar.schedule.taskapp,Calender,Colombia,3/23/25,31,28,90.32%,0.23,7.31,86,100.00%,0.01,36.05%
com.calendar.schedule.taskapp,Calender,Costa Rica,3/14/25,4,0,0.00%,0.01,3.65,6,100.00%,0.00,66.67%
com.calendar.schedule.taskapp,Calender,Costa Rica,3/18/25,5,0,0.00%,0.11,22.76,11,100.00%,0.00,45.45%
com.calendar.schedule.taskapp,Calender,Costa Rica,3/20/25,5,2,40.00%,0.07,13.31,8,100.00%,0.03,62.50%
com.calendar.schedule.taskapp,Calender,Costa Rica,3/21/25,4,1,25.00%,0.04,10.23,14,100.00%,0.04,28.57%
com.calendar.schedule.taskapp,Calender,Costa Rica,3/22/25,5,0,0.00%,0.12,23.63,8,100.00%,0.00,62.50%
com.calendar.schedule.taskapp,Calender,Costa Rica,3/23/25,13,6,46.15%,0.09,6.94,23,100.00%,0.02,56.52%
com.calendar.schedule.taskapp,Calender,Cote d'Ivoire,3/14/25,6,0,0.00%,0.01,2.31,9,88.89%,0.00,66.67%
com.calendar.schedule.taskapp,Calender,Cote d'Ivoire,3/15/25,4,2,50.00%,0.02,5.27,15,93.33%,0.01,26.67%
com.calendar.schedule.taskapp,Calender,Cote d'Ivoire,3/16/25,6,1,16.67%,0.00,0.75,10,100.00%,0.00,60.00%
com.calendar.schedule.taskapp,Calender,Cote d'Ivoire,3/17/25,5,0,0.00%,0.04,7.04,8,100.00%,0.00,62.50%
com.calendar.schedule.taskapp,Calender,Cote d'Ivoire,3/18/25,31,3,9.68%,0.27,8.55,51,100.00%,0.09,60.78%
com.calendar.schedule.taskapp,Calender,Cote d'Ivoire,3/19/25,57,12,21.05%,0.21,3.70,113,97.35%,0.02,50.44%
com.calendar.schedule.taskapp,Calender,Cote d'Ivoire,3/20/25,14,2,14.29%,0.06,4.12,42,92.86%,0.03,33.33%
com.calendar.schedule.taskapp,Calender,Cote d'Ivoire,3/21/25,14,1,7.14%,0.05,3.44,80,87.50%,0.05,17.50%
